AssetType,Name,Symbol
Crypto,Marlin,POND
Crypto,Phala Network,PHA
Crypto,Streamr,DATA
Crypto,ShareToken,SHR
Crypto,Elastos,ELA
Crypto,district0x,DNT
Crypto,MimbleWimbleCoin,MWC
Crypto,Cartesi,CTSI
Crypto,Trust Wallet Token,TWT
Crypto,xDai,STAKE
Crypto,Vai,VAI
Crypto,Rocket Pool,RPL
Crypto,Gala,GALA
Crypto,Uquid Coin,UQC
Crypto,PAC Protocol,PAC
Crypto,Perpetual Protocol,PERP
Crypto,bZx Protocol,BZRX
Crypto,Enzyme,MLN
Crypto,Ellipsis,EPS
Crypto,RChain,REV
Crypto,Thunder Token,TT
Crypto,MovieBloc,MBL
Crypto,Tokenlon Network Token,LON
Crypto,MCO,MCO
Crypto,Lambda,LAMB
Crypto,Waltonchain,WTC
Crypto,Request,REQ
Crypto,RAMP,RAMP
Crypto,AdEx Network,ADX
Crypto,Elitium,EUM
Crypto,Apollo Currency,APL
Crypto,Bluzelle,BLZ
Crypto,Ultra,UOS
Crypto,Mithril,MITH
Crypto,Verasity,VRA
Crypto,Dusk Network,DUSK
Crypto,Bella Protocol,BEL
Crypto,NewYork Exchange,NYE
Crypto,Energi,NRG
Crypto,Chromia,CHR
Crypto,CasinoCoin,CSC
Crypto,MonaCoin,MONA
Crypto,sUSD,SUSD
Crypto,Terra Virtua Kolect,TVK
Crypto,Beefy.Finance,BIFI
Crypto,Rally,RLY
Crypto,Oxygen,OXY
Crypto,Bloomzed Loyalty Club Ticket,BLCT
Crypto,Firo,FIRO
Crypto,Vesper,VSP
Crypto,Chimpion,BNANA
Crypto,WHALE,WHALE
Crypto,MXC,MXC
Crypto,Sapphire,SAPP
Crypto,botXcoin,BOTX
Crypto,Ferrum Network,FRM
Crypto,DSLA Protocol,DSLA
Crypto,Flamingo,FLM
Crypto,Kadena,KDA
Crypto,Morpheus.Network,MRPH
Crypto,TitanSwap,TITAN
Crypto,Refereum,RFR
Crypto,saffron.finance,SFI
Crypto,Gas,GAS
Crypto,Crust,CRU
Crypto,DIA,DIA
Crypto,Gemini Dollar,GUSD
Crypto,inSure DeFi,SURE
Crypto,BSCPAD,BSCPAD
Crypto,Doctors Coin,DRS
Crypto,Dego Finance,DEGO
Crypto,DxChain Token,DX
Crypto,NULS,NULS
Crypto,Divi,DIVI
Crypto,Bounce Token,AUCTION
Crypto,ARPA Chain,ARPA
Crypto,Drep [new],DREP
Crypto,Strike,STRK
Crypto,XeniosCoin,XNC
Crypto,Nerve Finance,NRV
Crypto,MANTRA DAO,OM
Crypto,HARD Protocol,HARD
Crypto,PIVX,PIVX
Crypto,VITE,VITE
Crypto,DAO Maker,DAO
Crypto,EFFORCE,WOZX
Crypto,Humanscape,HUM
Crypto,ALBT,$124,207,468
Crypto,CTK,$123,850,485
Crypto,RGT,$123,782,644
Crypto,REVV,REVV
Crypto,GreenPower,GRN
Crypto,VideoCoin,VID
Crypto,API3,API3
Crypto,Zenon,ZNN
Crypto,LBRY Credits,LBC
Crypto,SOLVE,SOLVE
Crypto,KIMCHI.finance,KIMCHI
Crypto,Phoenix Global,PHB
Crypto,SparkPoint,SRK
Crypto,ChainX,PCX
Crypto,Harvest Finance,FARM
Crypto,Newscrypto,NWC
Crypto,Ignis,IGNIS
Crypto,Frontier,FRONT
Crypto,Centrality,CENNZ
Crypto,DFI.Money,YFII
Crypto,ABBC Coin,ABBC
Crypto,Contentos,COS
Crypto,Super Zero Protocol,SERO
Crypto,BOSAGORA,BOA
Crypto,Frax,FRAX
Crypto,Spendcoin,SPND
Crypto,v.systems,VSYS
Crypto,Dragonchain,DRGN
Crypto,Tellor,TRB
Crypto,Selfkey,KEY
Crypto,Perlin,PERL
Crypto,NativeCoin,N8V
Crypto,Nexus,NXS
Crypto,Beam,BEAM
Crypto,PAX Gold,PAXG
Crypto,WaykiChain,WICC
Crypto,Radix,EXRD
Crypto,Cindicator,CND
